CID,H50 /J,SMILES,MOL_TYPE,Hf /kJmol-1,Hf_spread /kJmol-1,density / gcm-3,det_velocity / kms-1,det_pressure / Gpa,N,M,Q,phi,eod,CO2,N2,H2O,C,mw
TNT,24.5,CC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,STORM,26.549129568844876,66.5631283945451,1.6639701444494088,7.170987526664341,21.733569140719034,0.0253156754662487,28.52173913043478,1388.6411731208295,5.038166783024365,-1293.10475,1.75,1.5,2.5,5.25,
TNT-1,14.0,CC1=C(C(=C(C=C1)[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,STORM,58.72775519912426,46.008609556734406,1.6638724087105454,7.214018201033137,21.99436646044726,0.0253156754662487,28.52173913043478,1422.5019946108146,5.099222510236317,-1293.10475,1.75,1.5,2.5,5.25,
PCA,16.0,OC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,STORM,-113.01617507899817,13.201238101900731,1.8109093062117263,7.855923452023468,27.47510239180272,0.025097772190795446,33.04347826086956,1389.3153308144274,5.37747580614668,-1444.7737499999998,2.75,1.5,1.5,3.25,
CH-PETN,6.0,CC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,STORM,-330.76786704254573,37.17325421325943,1.650333917237368,8.149146647952547,27.92103052456477,0.032335315259525196,26.90909090909091,1538.818695811887,6.5799158508335855,-1973.4592499999999,2.25,1.5,4.5,2.75,
RDX,13.0,C1N(CN(CN1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],STORM,198.62908766164998,31.278658623018398,1.7866264204142333,8.947271737487258,35.35196778864525,0.03376598819541052,27.2,1629.4064772359538,7.108510929884725,-1315.6395,1.5,3.0,3.0,1.5,
TET-1,2.0,CN(CN(C1=NN(CN(C)[N+]([O-])=O)N=N1)[N+]([O-])=O)[N+]([O-])=O,STORM,,,,,,,,,,,,,,,
NP1,2.5,[O-][N+](=O)N1C=CC(=N1)C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,STORM,,,,,,,,,,,,,,,
HNB,2.75,C1(=C(C(=C(C(=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],STORM,,,,,,,,,,,,,,,
PETN,3.0,C(C(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-],STORM,,,,,,,,,,,,,,,
CL20,3.0,C12C3N(C4C(N3[N+](=O)[O-])N(C(N1[N+](=O)[O-])C(N2[N+](=O)[O-])N4[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],STORM,,,,,,,,,,,,,,,
BP-1,4.5,[O-][N+](=O)C1=C(C(=NN1)[N+]([O-])=O)C1=C(NN=C1[N+]([O-])=O)[N+]([O-])=O,STORM,,,,,,,,,,,,,,,
TET-2,5.0,CN(CN(C1=NN=NN1C)[N+]([O-])=O)[N+]([O-])=O,STORM,,,,,,,,,,,,,,,
HMX,8.0,C1N(CN(CN(CN1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],STORM,,,,,,,,,,,,,,,
TET-3,8.0,CN(CN(C1=NN(C)N=N1)[N+]([O-])=O)[N+]([O-])=O,STORM,,,,,,,,,,,,,,,
TET-4,15.0,CN(CN1C=NN=N1)[N+]([O-])=O,STORM,,,,,,,,,,,,,,,
BP-2,20.0,[O-][N+](=O)C1=C(C2=CNN=C2[N+]([O-])=O)C(=NN1)[N+]([O-])=O,STORM,,,,,,,,,,,,,,,
ADNP-5,23.0,NC1NN=C(C1[N+]([O-])=O)[N+]([O-])=O,STORM,,,,,,,,,,,,,,,
DNP-35,25.0,[O-][N+](=O)C1CC(=NN1)[N+]([O-])=O,STORM,,,,,,,,,,,,,,,
DNP-13,25.0,[O-][N+](=O)N1CCC(=N1)[N+]([O-])=O,STORM,,,,,,,,,,,,,,,
TNT-2,26.8,CC1=CC(=C(C(=C1)[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,STORM,,,,,,,,,,,,,,,
BP-3,30.0,[O-][N+](=O)C1=C(C=NN1)C1=C(NN=C1)[N+]([O-])=O,STORM,,,,,,,,,,,,,,,
FOX7,31.0,C(=C([N+](=O)[O-])[N+](=O)[O-])(N)N,STORM,,,,,,,,,,,,,,,
DNP-34,40.0,[O-][N+](=O)C1CNN=C1[N+]([O-])=O,STORM,,,,,,,,,,,,,,,
TET-5,40.0,CN(CNC1=NN=NN1C)[N+]([O-])=O,STORM,,,,,,,,,,,,,,,
ADNP-5,41.0,NC1NN=C(C1[N+]([O-])=O)[N+]([O-])=O,STORM,,,,,,,,,,,,,,,
nitrotriazolone,73.0,C1(=O)NC(=NN1)[N+](=O)[O-],STORM,,,,,,,,,,,,,,,
nitroguanidine,80.0,C(=N)(N)N[N+](=O)[O-],STORM,,,,,,,,,,,,,,,
TET-6,100.0,CN(CN1N=NN=C1N)[N+]([O-])=O,STORM,,,,,,,,,,,,,,,
TATB,120.0,C1(=C(C(=C(C(=C1[N+](=O)[O-])N)[N+](=O)[O-])N)[N+](=O)[O-])N,STORM,,,,,,,,,,,,,,,
HNS,,C1=C(C=C(C(=C1[N+](=O)[O-])/C=C/C2=C(C=C(C=C2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],STORM,235.179871376113,32.63388766548373,1.7543428723031051,7.426394963640286,24.08746381382511,0.023321309902450287,32.0,1449.8847385059812,5.02336422648125,-2496.0705,4.5,3.0,3.0,9.5,
