MOL,exp e /kJ mol,mace e /eV,SMILES,REF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzophenone,51.5,-15696.3907241217,c1ccccc1C(=O)c2ccccc2,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_3_dimethyl_2_nitrobenzene,8.7864,-14029.1432631324,CC1=C(C(=CC=C1)C)[N+](=O)[O-],ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-nitrophenol,-114.7,-13938.0189265121,C1=CC(=CC=C1[N+](=O)[O-])O,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-nitrophenol,-109.3,-13937.9585191532,C1=CC(=CC(=C1)O)[N+](=O)[O-],ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-nitroaniline,62.3415,-13396.7732625157,C1=CC(=CC(=C1)[N+](=O)[O-])N,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biphenyl,178.8,-12610.7302548888,c1ccccc1c2ccccc2,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dinitromethane,-58.9943,-12237.9469413163,C([N+](=O)[O-])[N+](=O)[O-],ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nitrobenzene,62.5,-11889.7182480127,C1=CC=C(C=C1)[N+](=O)[O-],ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzoic_acid,-294.13,-11455.9137855129,c1ccccc1C(=O)O,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
napthalene,147.68,-10503.6621777458,c1ccc2ccccc2c1,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetophenone,-83.90,-10476.7483698978,c1ccccc1C(=O)C,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-tolualdehyde,-71.3,-10476.5741690588,Cc1cccc(C=O)c1,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2methyl2nitropropane,-177.0667,-9879.4079838931,CC(C)(C)[N+](=O)[O-],ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nitrosobenzene,200.0,-9841.8980721134,C1=CC=C(C=C1)N=O,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anisole,-70.82,-9438.6710728995,c1ccccc1OC,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzaldehyde,-36.96,-9406.7889505160,c1c(C=O)cccc1,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dioxodiazoxane,88.2,-9120.5982734988,O=N-O-N=O,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methyl_nitrate,-122.173,-8716.9820341871,CO[N+](=O)[O-],ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-octane,-207.89,-8589.2739182141,CCCCCCCC,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethylbenzene,29.8,-8460.6585506016,c1ccccc1CC,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aniline,86.82,-7828.2546013678,c1ccccc1N,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-heptane,-187.27,-7519.5111382390,CCCCCCC,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethyl_formate,-393.7,-7305.2450305861,CCOC=O,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dioxohydrazine,171.18,-7073.6538221562,O=NN=O,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methyl_nitrite,-64.98,-6669.8776636184,CON=O,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-2-dimethylbutane,-185.70,-6450.0913121181,CCC(C)(C)C,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzene,82.9,-6321.2302132072,c1ccccc1,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methyl_formate,-359.87,-6235.4602904803,COC=O,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nitrous_acid,-78.621,-5600.5006316763,O=NO,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neopentane,-167.14,-5380.4866102156,CC(C)(C)C,ATcT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
