MOL,exp e /kJ mol,mace e /eV,M062X H /Eh,wB97X-V H /Eh,CAM-B3LYP H /Eh,wB97XD-D3BJ /Eh,MN15 H /Eh,B2PLYP H /Eh,SMILES,REF
oxamic_acid,-552.3,-9759.4496193589,-358.41354523,-358.4295225,-358.41658695,-358.63823311,-358.17146241,-358.33854672,NC(=O)C(O)=O,NIST
propionic_acid,-453.67,-7305.8536829936,-268.29764764,-268.32408523,-268.29622384,-268.50411594,-268.1080009,-268.23649501,CCC(=O)O,ATcT
urethane,-446.3,-8812.8520893188,-323.64336513,-323.67310865,-323.64081142,-323.88735697,-323.41416485,-323.56547234,CCOC(N)=O,NIST
carbamic_acid,-425.3,-7743.0662940325,-284.36101076,-284.38131662,-284.36276733,-284.56037643,-284.16499062,-284.29601979,COC(N)=O,NIST
Propanediamide,-416.4,-10288.0937915481,-377.81691045,-377.84738564,-377.81230591,-378.09057148,-377.54624279,-377.72949721,NC(=O)CC(N)=O,NIST
acetic_acid,-412.04,-6236.2345916133,-229.02173522,-229.03866782,-229.02457902,-229.18329204,-228.86506939,-228.97240791,CC(O)=O,NIST
Diethanolamine,-397.1,-9913.1683626152,-364.04573833,-364.08853345,-364.03866836,-364.34678148,-363.78261901,-363.95182974,OCCNCCO,NIST
ethyl_formate,-393.7,-7305.2450703717,-268.27752068,-268.30333714,-268.27605536,-268.48239486,-268.08883909,-268.21539273,CCOC=O,ATcT
methanediol,-392.44,-5197.849921541,-190.895083,-190.90616443,-190.90284301,-191.02347294,-190.77096836,-190.85523305,OCO,NIST
formic_acid,-378.28,-5166.2296048318,-189.73130768,-189.73899612,-189.73785145,-189.8484366,-189.60771013,-189.69524868,C(=O)O,ATcT
Succinimide,-375.5,-9818.500804425,-360.56901285,-360.60145277,-360.55692196,-360.83557083,-360.30832529,-360.48295538,O=C1CCC(=O)N1,NIST
n-methylglycine,-367.2,-8812.278601786,-323.62061279,-323.65037857,-323.61644701,-323.86555601,-323.39023832,-323.54241497,CNCC(O)=O,NIST
2-Aminobenzoic_acid,-296.2,-12963.0936896137,-476.0447699,-476.08231032,-476.00937834,-476.40745451,-475.68776319,-475.92091976,NC1=C(C=CC=C1)C(O)=O,NIST
benzoic_acid,-294.13,-11455.9137244782,-420.69456732,-420.72887112,-420.6612114,-421.01858313,-420.37793579,-420.58556254,c1ccccc1C(=O)O,ATcT
4-Aminobenzoic_acid,-293.9,-12963.0184577416,-476.04162766,-476.07942958,-476.00655058,-476.40486329,-475.6845575,-475.91793447,NC1=CC=C(C=C1)C(O)=O,NIST
4-Nitrocatechol,-290.0,-15986.1199898053,-587.07869366,-587.1135659,-587.05744751,-587.47582589,-586.66599177,-586.94671891,Oc1ccc(cc1O)[N+]([O-])=O,NIST
3-Aminobenzoic_acid,-289.3,-12962.9416033915,-476.03833876,-476.0760949,-476.00280767,-476.40149909,-475.68096355,-475.91498466,NC1=CC=CC(=C1)C(O)=O,NIST
Butanamide,-279.17,-7833.6411260421,-287.66911956,-287.70768449,-287.65699628,-287.92206436,-287.45046845,-287.59305809,CCCC(O)=N,NIST
