CID,SMILES,Hf /kJmol-1,Hf_spread /kJmol-1,density / gcm-3,det_velocity / kms-1,det_pressure / Gpa
C3609,C1CCC2C(C(=O)O)CCCC2(C=O)C1,-650.3876725183139,21.16471269177944,1.777723278603622,0.6415265186377733,1.8119796995169795
C5831,C1CC(C(=O)O)CC(C2CCC(C)CC2)C1,-614.6114216873012,50.552293386159015,1.6633129985811017,0.6644807526806689,1.8656468936325967
C3862,C1CC(C(=O)O)C2CCCCC2C1,-539.4591652639366,44.03904642946773,1.712536899770753,0.6640716538521397,1.8976910842827885
C2562,C(C=O)C(=O)O,-532.208155176439,14.850984158353443,1.8566125951500339,0.6976301209654143,2.1988388439189195
C1420,C1C(C(=O)O)CC2CCCCC2C1,-524.7561520846278,0.0,1.7116042087185508,0.6592519715770571,1.8696134087816454
C3743,C1CC(OC(=O)N)C2CCCCC2C1,-476.01451267937875,24.27581571068731,1.7358907104515224,0.6122276062773226,1.6264884932381893
C183,C1CCC2C(OC(=O)N)CCCC2C1,-473.56157982503413,0.0,1.7348289243323292,0.6111782103117681,1.6203083848663327
C003,C(CC(=O)O)O[N+](=O)[O-],-470.8669831951968,0.0,2.0253714924328716,0.6032677882732952,1.727538153580149
C311,C1(C(=O)O)CCCCC1,-470.79462946436684,0.0,1.6945404808586417,0.677498535686506,1.9622658829127548
C1177,C1CC(C(=O)C)C2CC(O)CCC2C1,-470.78175748453583,11.656653535520455,1.6941784505317927,0.6352353307506007,1.724854525450735
C2551,C1CC(OC(=O)N)C2CCCCC2C1,-470.6396390830341,0.0,1.7350942757041459,0.6102979229245774,1.6157960622259329
C708,C1CCC2CCCC(OC(=O)N)C2C1,-470.1366881722255,0.0,1.7321788939145355,0.6094245266568298,1.6095100660679331
C1982,CCCC(=O)O,-461.5479355776883,58.6309418552808,1.613242877233322,0.7050582485670623,2.0598296181269724
C5203,C(C)C(=O)O,-433.1076833529812,52.62037729107091,1.6493618140726842,0.6948127670891494,2.028990523778773
C2907,CCOC(=O)N,-430.94796964469634,0.0,1.7155443967977897,0.6207752576787144,1.6601087038106583
C3395,CCOC(=O)N,-430.80345955982096,0.0,1.712318944562102,0.6199174576792432,1.653594800350872
C4594,C1(C=O)CCCCC1O,-426.44599279640283,0.0,1.689390480814525,0.6595652149540724,1.8562236901840437
C1094,C1CCCCC1(O)C=O,-422.85380947230294,0.0,1.692821106606595,0.659090214899975,1.8559038002419759
C6125,C(C1CCCCC1O)C1CCCCC1,-405.1376910924571,0.0,1.5981184037600369,0.6439820694034386,1.7079644200664017
